record_index,accession_number,title,publication_year,authors,doi,article_link,cite_label,screening_category,screening_categories_all,evidence,abstract_missing,host_pest,delivery_mode,nonfoliar_delivery,mortality,lt_lc,colony_nest_effects,dose,extract_status
608,rayyan-628416110,A predatory social wasp does not avoid nestmates contaminated with a fungal biopesticide,2023,"de Souza, Andre Rodrigues;Prato, Amanda;Franca, Wilson;Santos, Sircio;Lima, Luan Dias;Alves, Denise Araujo;Bernardes, Rodrigo Cupertino;Santos, Eduardo Fernando;do Nascimento, Fabio Santos;Lima, Maria Augusta Pereira",10.1007/s11356-023-29770-5,https://doi.org/10.1007/s11356-023-29770-5,DeSouza2023,02c_formulation_delivery,02c_formulation_delivery|02a_efficacy|04-nontarget-ecotox,abstract,0,Mischocyttarus metathoracicus,unclear,0,,,nestmates contaminated with a fungal biopesticide,,endpoint_in_abstract
4892,rayyan-628423844,Agroforestry coffee soils increase the insect-suppressive potential offered by entomopathogenic fungi over full-sun soils: A case proposing a 'bait survival technique',2019,"Moreira, Camila Costa;Celestino, Daiane;Guerra Sobrinho, Tathiana;Cardoso, Irene Maria;Elliot, Simon Luke",10.1002/ece3.5598,https://doi.org/10.1002/ece3.5598,Moreira2019,02c_formulation_delivery,02c_formulation_delivery|02a_efficacy,abstract,0,Agroforestry coffee,bait_station,1,,,,,no_endpoint_in_abstract
2613,rayyan-628421460,Alginate-kaolinite beads incorporated with agrochemicals: new baits for leaf-cutting ants control,2024,"Duarte, Valber;Leite, Victor;Nobre, Danubia;Silva, Rene;Constantino, Vera R.L.;Castro, Gustavo;Fernandes, Flavio;Tronto, Jairo",10.21203/rs.3.rs-4331320/v1,https://doi.org/10.21203/rs.3.rs-4331320/v1,Duarte2024,02c_formulation_delivery,02c_formulation_delivery|02a_efficacy,abstract,0,Insect pests; These insects,bait_station,1,,,,,no_endpoint_in_abstract
2306,rayyan-628421122,Beauveria bassiana Endophytic Strain as Plant Growth Promoter: The Case of the Grape Vine Vitis vinifera,2021,"Mantzoukas, Spiridon;Lagogiannis, Ioannis;Mpousia, Dionusia;Ntoukas, Aristeidis;Karmakolia, Katerina;Eliopoulos, Panagiotis A;Poulas, Konstantinos",10.3390/jof7020142,https://doi.org/10.3390/jof7020142,Mantzoukas2021,02c_formulation_delivery,02c_formulation_delivery|02a_efficacy,abstract,0,Vitis vinifera,bait_station|endophytic,1,,,,,no_endpoint_in_abstract
617,rayyan-628416120,Beauveria bassiana associated with a novel biomimetic hydrogel to control Aedes albopictus through lure and kill ovitraps,2025,"Friuli, Marco;Lia, Riccardo Paolo;Nitti, Paola;Lamanna, Leonardo;Otranto, Domenico;Pombi, Marco;Demitri, Christian;Cafarchia, Claudia",10.1002/ps.8476,https://doi.org/10.1002/ps.8476,Friuli2025,02c_formulation_delivery,02c_formulation_delivery|02a_efficacy,abstract,0,Aedes albopictus; Gel systems,bait_station|trap,1,,,,,no_endpoint_in_abstract
3852,rayyan-628422789,Beauveria bassiana strains for biological control of Cosmopolites sordidus (Germ.) (Coleoptera: Curculionidae) in plantain,2013,"Fancelli, Marilene;Dias, Alex Batista;Delalibera, Italo;de Jesus, Sandra Cerqueira;do Nascimento, Antonio Souza;Silva, Sebastiao de Oliveira e;Caldas, Ranulfo Correa;Ledo, Carlos Alberto da Silva",10.1155/2013/184756,https://doi.org/10.1155/2013/184756,Fancelli2013,02c_formulation_delivery,02c_formulation_delivery|02a_efficacy,abstract,0,Cosmopolites sordidus,trap,1,"mortality, leading to 40% | 90% of adult mortality | 20% mortality",,,,endpoint_in_abstract
423,rayyan-628415780,Behavioral Suppression and Rapid Lethality: Beauveria bassiana B4 Targets Adult Monochamus alternatus for Sustainable Management of Pine Wilt Disease,2025,"Zhang, Yaqi;Zhang, Xuejie;An, Liudi;Gong, Dongfeng;Wang, Jinsheng;Bi, Huitao;Zheng, Yi;Cao, Lei;Lu, Shaohui",10.3390/insects16101045,https://doi.org/10.3390/insects16101045,Zhang2025,02c_formulation_delivery,02c_formulation_delivery|02a_efficacy|04-nontarget-ecotox,abstract,0,Monochamus alternatus,trap,1,,LT50 = 6 | LC50 = 9,,,endpoint_in_abstract
901,rayyan-628419603,Benefits of living underground: the case of parasite release in the antlion Myrmeleon timidus,2020,"Galvez, Dumas;Garrido, Milagro;Gil, Fermin;Fernandez-Marin, Hermogenes",10.1111/eea.12895,https://doi.org/10.1111/eea.12895,Galvez2020,02c_formulation_delivery,02c_formulation_delivery|02a_efficacy,abstract,0,Myrmeleon timidus,trap,1,,,,,no_endpoint_in_abstract
1798,rayyan-628420573,Bioexploration and Phylogenetic Placement of Entomopathogenic Fungi of the Genus Beauveria in Soils of Lebanon Cedar Forests,2021,"Al Khoury, Charbel;Nemer, Georges;Humber, Richard;El-Hachem, Nehme;Guillot, Jacques;Chehab, Racha;Noujeim, Elise;El Khoury, Yara;Skaff, Wadih;Estephan, Nathalie;Nemer, Nabil",10.3390/jof7110924,https://doi.org/10.3390/jof7110924,AlKhoury2021,02c_formulation_delivery,02c_formulation_delivery|02a_efficacy,abstract,0,Lebanon have,bait_station,1,,,,,no_endpoint_in_abstract
575,rayyan-628416066,Biological characteristics and pathogenicity of entomopathogenic Beauveria bassiana (Bals.-Criv.) Vuill (Hypocreales: Cordycipitaceae) isolated from soils in Northern Kenya against desert locust (Schistocerca gregaria) (Forskal) (Orthoptera: Acrididae),2025,"Mwikali, Pamela C;Mwamburi, Lizzy A;Musinguzi, Simon Peter",,http://europepmc.org/abstract/AGR/IND608793514,Mwikali2025,02c_formulation_delivery,02c_formulation_delivery|02a_efficacy,abstract,0,Schistocerca gregaria,bait_station,1,mortality ranging from 63 to 100%,,,,endpoint_in_abstract
946,rayyan-628419648,Biological control of leaf-cutter ants using pathogenic fungi: experimental laboratory and field studies,2021,"Folgarait, Patricia J;Goffre, Daniela",10.1111/eea.13078,https://doi.org/10.1111/eea.13078,Folgarait2021,02c_formulation_delivery,02c_formulation_delivery|02a_efficacy,abstract,0,,bait_station,1,,,,,no_endpoint_in_abstract
