record_index,accession_number,title,publication_year,authors,doi,article_link,cite_label,screening_category,screening_categories_all,evidence,abstract_missing,carrier_types,claims,device_or_delivery,extract_status
1204,rayyan-628419927,Delivering Beauveria bassiana with electrostatic powder for the control of stored-product beetles,2017,"Athanassiou, Christos G;Rumbos, Christos I;Sakka, Maria;Potin, Olivier;Storm, Clare;Dillon, Aoife B",10.1002/ps.4522,https://doi.org/10.1002/ps.4522,Athanassiou2017,02c_formulation_delivery,02c_formulation_delivery|02a_efficacy,abstract,0,electrostatic,,unclear,endpoint_in_abstract
1688,rayyan-628420448,"Development of a CO2 -releasing coformulation based on starch, Saccharomyces cerevisiae and Beauveria bassiana attractive towards western corn rootworm larvae",2016,"Vemmer, Marina;Schumann, Mario;Beitzen-Heineke, Wilhelm;French, Bryan W;Vidal, Stefan;Patel, Anant V",10.1002/ps.4245,https://doi.org/10.1002/ps.4245,Vemmer2016,02c_formulation_delivery,02c_formulation_delivery|02a_efficacy,abstract,0,encapsulation_hydrogel,,unclear,endpoint_in_abstract
1131,rayyan-628419844,Diversity of entomopathogenic fungi associated with Mediterranean fruit fly (Ceratitis capitata (Diptera: Tephritidae)) in Moroccan Argan forests and nearby area: impact of soil factors on their distribution,2020,"Hallouti, Ayoub;Ait Hamza, Mohamed;Zahidi, Abdelaziz;Ait Hammou, Rachid;Bouharroud, Rachid;Ait Ben Aoumar, Abdellah;Boubaker, Hassan",10.1186/s12898-020-00334-2,https://doi.org/10.1186/s12898-020-00334-2,Hallouti2020,02c_formulation_delivery,02c_formulation_delivery|02a_efficacy,abstract,0,,mortality mentioned (see abstract),bait_station,endpoint_in_abstract
2277,rayyan-628421090,Effect of Bark Application With Beauveria bassiana and Permethrin Insecticide on the Walnut Twig Beetle (Coleoptera: Curculionidae) in Black Walnut Bolts,2019,"Mayfield, Albert E;Juzwik, Jennifer;Scholer, Jamison;Vandenberg, John D;Taylor, Adam",10.1093/jee/toz150,https://doi.org/10.1093/jee/toz150,Mayfield2019,02c_formulation_delivery,02c_formulation_delivery|02a_efficacy,abstract,0,aqueous,,foliar_spray,endpoint_in_abstract
4483,rayyan-628423434,Effects of bait substrate and formulation on infection of grasshopper nymphs by Beauveria bassiana,1996,"Inglis, GD;Johnson, DL;Goettel, MS",10.1080/09583159650039511,https://doi.org/10.1080/09583159650039511,Inglis1996,02c_formulation_delivery,02c_formulation_delivery|02a_efficacy,full-text,0,oil,,bait_station|foliar_spray,full_text_extracted
2993,rayyan-628421904,Effects of soil treatments with entomopathogenic fungi on soil dwelling non-target arthropods at a commercial olive orchard,2011,"Garrido-Jurado, I;Ruano, F;Campos, M;Quesada-Moraga, E",10.1016/j.biocontrol.2011.07.001,https://doi.org/10.1016/j.biocontrol.2011.07.001,Garrido-Jurado2011,02c_formulation_delivery,02c_formulation_delivery|02a_efficacy|04-nontarget-ecotox,abstract,0,,mortality mentioned (see abstract),soil_drench,endpoint_in_abstract
5627,rayyan-628426062,Efficacy and nontarget effects of broadcast treatments to manage spotted lanternfly (Hemiptera: Fulgoridae) nymphs.,2023,Keller JA;Walsh B;Johnson A;Jenkins N;Rost J;Treichler B;Biddinger D;Calvin DD;Hoover K;Urban J;Roush RT,10.1093/jee/toad121,https://doi.org/10.1093/jee/toad121,Keller2023,02c_formulation_delivery,02c_formulation_delivery|02a_efficacy|04-nontarget-ecotox,full-text,0,,persistence,trap|foliar_spray,full_text_extracted
4196,rayyan-628423140,"Efficacy of Beauveria bassiana against the red imported fire ant, Solenopsis invicta (Hymenoptera: Formicidae), in Taiwan",2011,"Kafle, Lekhnath;Wu, Wen-Jer;Kao, Suey-Sheng;Shih, Cheng-Jen",10.1002/ps.2192,https://doi.org/10.1002/ps.2192,Kafle2011,02c_formulation_delivery,02c_formulation_delivery|02a_efficacy,abstract,0,,,bait_station,no_endpoint_in_abstract
5069,rayyan-628424412,Efficacy of Biopesticides for Management of the Swede Midge (Diptera: Cecidomyiidae).,2016,Evans BG;Hallett RH,10.1093/jee/tow192,https://doi.org/10.1093/jee/tow192,Evans2016,02c_formulation_delivery,02c_formulation_delivery|02a_efficacy,full-text,0,,,trap,full_text_extracted
5464,rayyan-628425564,Efficiency Enhancement Technology of Dastarcus helophoroides (Coleoptera: Bothrideridae) for Controlling Monochamus alternatus (Coleoptera: Cerambycidae): Drilling Optimization and Biological Collaboration.,2025,Li J;Zhang M;Li Z;Li X;Peng Y;Zhou W;Zhao Z;Yan X,10.3390/insects16111138,https://doi.org/10.3390/insects16111138,Li2025,02c_formulation_delivery,02c_formulation_delivery|02a_efficacy,full-text,0,,,unclear,full_text_extracted
221,rayyan-628415435,Encapsulation of Beauveria bassiana conidia as a new strategy for the biological control of Aedes aegypti larvae,2024,"Bitencourt, Ricardo de Oliveira Barbosa;de Sousa Queiroz, Raymyson Rhuryo;Ribeiro, Anderson;de Souza Ribeiro, Yrexam Rodrigues;Boechat, Marcela Santana Bastos;Carolino, Aline Teixeira;Santa-Catarina, Claudete;Samuels, Richard Ian",10.1038/s41598-024-83036-9,https://doi.org/10.1038/s41598-024-83036-9,Bitencourt2024,02c_formulation_delivery,02c_formulation_delivery|02a_efficacy,full-text,0,encapsulation_hydrogel,,alginate capsules,full_text_extracted
4733,rayyan-628423684,Enhanced UV resistance and improved killing of malaria mosquitoes by photolyase transgenic entomopathogenic fungi,2012,"Fang, Weiguo;St Leger, Raymond J",10.1371/journal.pone.0043069,https://doi.org/10.1371/journal.pone.0043069,Fang2012,02c_formulation_delivery,02c_formulation_delivery|02a_efficacy,full-text,0,,photolyase transgenic Bb improved UV tolerance and mosquito killing,trap,full_text_extracted
237,rayyan-628415453,Entomopathogenic Fungi in Forest Habitats of Ixodes ricinus,2024,"Dyczko, Dagmara;Plewa-Tutaj, Kinga;Kiewra, Dorota",10.3390/insects15050341,https://doi.org/10.3390/insects15050341,Dyczko2024,02c_formulation_delivery,02c_formulation_delivery|02a_efficacy,abstract,0,,,trap,no_endpoint_in_abstract
1828,rayyan-628420607,Entomopathogenic fungi against the red palm weevil: Lab and field evidence,2024,"Sabbahi, Rachid;Hock, Virginia",,http://europepmc.org/abstract/AGR/IND608269139,Sabbahi2024,02c_formulation_delivery,02c_formulation_delivery|02a_efficacy,abstract,0,,,trap,no_endpoint_in_abstract
1544,rayyan-628420294,Entomopathogenic fungi in Portuguese vineyards soils: suggesting a 'Galleria-Tenebrio-bait method' as bait-insects Galleria and Tenebrio significantly underestimate the respective recoveries of Metarhizium (robertsii) and Beauveria (bassiana),2018,"Sharma, Lav;Oliveira, Irene;Torres, Laura;Marques, Guilhermina",10.3897/mycokeys.38.26790,https://doi.org/10.3897/mycokeys.38.26790,Sharma2018,02c_formulation_delivery,02c_formulation_delivery|02a_efficacy,abstract,0,,,bait_station,no_endpoint_in_abstract
1636,rayyan-628420395,Evaluating the efficacy of biological and conventional insecticides with the new 'MCD bottle' bioassay,2014,"Sternberg, Eleanore D;Waite, Jessica L;Thomas, Matthew B",10.1186/1475-2875-13-499,https://doi.org/10.1186/1475-2875-13-499,Sternberg2014,02c_formulation_delivery,02c_formulation_delivery,full-text,0,"oil, sugar",mortality after 24 hours were assessed using logistic regression,both,full_text_extracted
4999,rayyan-628424134,Evaluation of a guardian plant system to suppress Frankliniella occidentalis (Thysanoptera: Thripidae) in greenhouse ornamentals.,2023,Sullivan CF;Davari A;Kim JS;Parker BL;Skinner M,10.1002/ps.7556,https://doi.org/10.1002/ps.7556,Sullivan2023,02c_formulation_delivery,02c_formulation_delivery|02a_efficacy,abstract,0,granular,persistence,foliar_spray,endpoint_in_abstract
2720,rayyan-628421624,"Evaluation of the entomopathogenic fungi Beauveria bassiana, Metarhizium anisopliae, and Isaria fumosorosea for control of Sitophilus oryzae",2014,"Kavallieratos, Nickolas G;Kavallieratos, Nickolas G;Athanassiou, Christos G;Aountala, Maria M;Kontodimas, Demetrius C",10.4315/0362-028x.jfp-13-196,https://doi.org/10.4315/0362-028x.jfp-13-196,Kavallieratos2014,02c_formulation_delivery,02c_formulation_delivery|02a_efficacy,full-text,0,aqueous,,bait_station|foliar_spray,full_text_extracted
5088,rayyan-628424479,Evaluation of three formulations of Beauveria bassiana for control of lesser mealworm and hide beetle in Georgia poultry houses.,2003,Geden CJ;Steinkraus DC,10.1603/0022-0493-96.5.1602,https://doi.org/10.1603/0022-0493-96.5.1602,Geden2003,02c_formulation_delivery,02c_formulation_delivery|02a_efficacy,full-text,0,granular,,"EC, granular corn, residue formulations",full_text_extracted
989,rayyan-628419696,Field applications of Beauveria bassiana to control the European cherry fruit fly Rhagoletis cerasi,2010,"Daniel, C;Wyss, E",10.1111/j.1439-0418.2009.01486.x,https://doi.org/10.1111/j.1439-0418.2009.01486.x,Daniel2010,02c_formulation_delivery,02c_formulation_delivery|02a_efficacy|01-existing-products,abstract,0,,,trap|foliar_spray,no_endpoint_in_abstract
5115,rayyan-628424670,"Field efficacy of insect pathogen, botanical, and jasmonic acid for the management of wheat midge Sitodiplosis mosellana and the impact on adult parasitoid Macroglenes penetrans populations in spring wheat.",2019,Shrestha G;Reddy GVP,10.1111/1744-7917.12548,https://doi.org/10.1111/1744-7917.12548,Shrestha2019,02c_formulation_delivery,02c_formulation_delivery|02a_efficacy,abstract,0,,,unclear,endpoint_in_abstract
557,rayyan-628416038,Formulation and bio-efficacy of different isolates of Beauveria bassiana against adults and third nymphal instar of desert locust (Schistocerca gregaria Forskal),2024,"Mwikali, Pamela C;Mwamburi, Lizzy A;Peter Musinguzi, Simon",10.1016/j.biocontrol.2024.105642,https://doi.org/10.1016/j.biocontrol.2024.105642,Mwikali2024,02c_formulation_delivery,02c_formulation_delivery|02a_efficacy|04-nontarget-ecotox,abstract,0,,90 % mortality; 50 % mortality,bait_station|foliar_spray,endpoint_in_abstract
1729,rayyan-628420497,Fungal evasion of Drosophila immunity involves blocking the cathepsin-mediated cleavage maturation of the danger-sensing protease,2025,"Tang, Guirong;Song, Shuangxiu;Shang, Junmei;Luo, Yujuan;Li, Shiqin;Wei, Dongxiang;Wang, Chengshu",10.1073/pnas.2419343122,https://doi.org/10.1073/pnas.2419343122,Tang2025,06-background-proxies,06-background-proxies|02a_efficacy|02b_strains_traits,full-text,0,protein_bait,,bait_station,full_text_extracted
3737,rayyan-628422668,Impact of soil applications of Beauveria bassiana and Mariannaea sp. on nontarget forest arthropods,1997,"Parker, BL;Skinner, M;Gouli, V;Brownbridge, M",10.1006/bcon.1997.0516,https://doi.org/10.1006/bcon.1997.0516,Parker1997,02c_formulation_delivery,02c_formulation_delivery|02a_efficacy|04-nontarget-ecotox,abstract,0,oil|wettable_powder|granular,,trap|soil_drench,endpoint_in_abstract
4368,rayyan-628423316,"Infectivity of housefly, Musca domestica (Diptera: Muscidae) to different entomopathogenic fungi",2016,"Farooq, Muzammil;Freed, Shoaib",10.1016/j.bjm.2016.06.002,https://doi.org/10.1016/j.bjm.2016.06.002,Farooq2016,02c_formulation_delivery,02c_formulation_delivery|02a_efficacy,full-text,0,,,bait_station,full_text_extracted
610,rayyan-628416112,Integrated management of Tuta absoluta in tomato cultivation in southern Angola: a sustainable approach,2025,"Tito, Noe Jamba;Van-Dunen, Silvio Edjorge Francisco;Regazzo, Jamile Raquel;Antonio, Sebastiao;Zacarias, Joao Baptista;Rossi, Fabricio",10.21203/rs.3.rs-7965828/v1,https://doi.org/10.21203/rs.3.rs-7965828/v1,Tito2025,02c_formulation_delivery,02c_formulation_delivery|02a_efficacy,abstract,0,,,trap,no_endpoint_in_abstract
2213,rayyan-628421025,"Integration of Repellency Effect of Neem-Based Insecticide and Pheromone Bio-Trap(R) with Beauveria bassiana (Hypocreales: Cordycipitaceae) to Control the Red Palm Weevil, Rhynchophorus ferrugineus (Olivier) (Coleoptera: Curculionidae)",2021,"Hajjar, MJ;Ajlan, AM;Al-Ahmad, MH",,http://europepmc.org/abstract/AGR/IND607523531,Hajjar2021,02c_formulation_delivery,02c_formulation_delivery|02a_efficacy,full-text,0,"bait, conidia, sugar",mortality of RPW; LC90 values of; 9 spores/ml caused 100%,both,full_text_extracted
5030,rayyan-628424223,Isolation and identification of entomopathogenic fungi strains for Colorado potato beetle (Leptinotarsa decemlineata) control.,2024,Konopicka J;Skokova Habustova O;Janova N;Zurovcova M;Dolezal P;Zemek R,10.1093/jambio/lxae213,https://doi.org/10.1093/jambio/lxae213,Konopicka2024,02c_formulation_delivery,02c_formulation_delivery|02a_efficacy|04-nontarget-ecotox,full-text,0,,,bait_station,full_text_extracted
5545,rayyan-628425857,"Isolation, morphological characterization, and screening virulence of Beauveria bassiana and Metarhizium robertsii fungal isolates on Galleria mellonella.",2023,Geremew D;Shiberu T;Leta A,10.12688/f1000research.134020.5,https://doi.org/10.12688/f1000research.134020.5,Geremew2023,02c_formulation_delivery,02c_formulation_delivery|02a_efficacy|02b_strains_traits,abstract,0,,mortality mentioned (see abstract),bait_station|endophytic,endpoint_in_abstract
4511,rayyan-628423462,"Laboratory evaluation of Beauveria bassiana (Moniliales: Moniliaceae) against the lesser mealworm, Alphitobius diaperinus (Coleoptera: Tenebrionidae), in poultry litter, soil, and a pupal trap",1998,"Geden, CJ;Arends, JJ;Rutz, DA;Steinkraus, DC",10.1006/bcon.1998.0647,https://doi.org/10.1006/bcon.1998.0647,Geden1998,02c_formulation_delivery,02c_formulation_delivery|02a_efficacy,abstract,0,aqueous,,trap|direct_contact_bioassay,endpoint_in_abstract
5528,rayyan-628425810,Longifolene enhances Beauveria bassiana bait by counteracting repellency in the fungus-growing termite Odontotermes formosanus.,2026,Lin Y;Huang J;Huang J;Yu W;Akutse KS;Lin S,10.1002/ps.71038,https://doi.org/10.1002/ps.71038,Lin2026,02c_formulation_delivery,02c_formulation_delivery|02a_efficacy,full-text,0,,dry conidia repelled O. formosanus dose-dependently; longifolene 0.2-0.4 mmol/mL reversed,toxic bait,full_text_extracted
3623,rayyan-628422545,Meta-Analysis and Evaluation by Insect-Mediated Baiting Reveal Different Patterns of Hypocrealean Entomopathogenic Fungi in the Soils From Two Regions of China,2020,"Masoudi, Abolfazl;Wang, Min;Zhang, Xiaoli;Wang, Can;Qiu, Zhaoxi;Wang, Wenying;Wang, Hui;Liu, Jingze",10.3389/fmicb.2020.01133,https://doi.org/10.3389/fmicb.2020.01133,Masoudi2020,02c_formulation_delivery,02c_formulation_delivery|02a_efficacy,abstract,0,,,bait_station,no_endpoint_in_abstract
3427,rayyan-628422347,Microbial control of Musca domestica (Diptera: Muscidae) with selected strains of Beauveria bassiana,2005,"Lecuona, Roberto E;Turica, Mariana;Tarocco, Federico;Crespo, Diana C",10.1093/jmedent/42.3.332,https://doi.org/10.1093/jmedent/42.3.332,Lecuona2005,02c_formulation_delivery,02c_formulation_delivery|02a_efficacy|02b_strains_traits,abstract,0,,,bait_station,no_endpoint_in_abstract
139,rayyan-628415320,New Approach of Beauveria bassiana to Control the Red Palm Weevil (Coleoptera: Curculionidae) by Trapping Technique,2015,"Hajjar, M J;Ajlan, A M;Al-Ahmad, M H",10.1093/jee/tou055,https://doi.org/10.1093/jee/tou055,Hajjar2015,02c_formulation_delivery,02c_formulation_delivery|02a_efficacy|01-existing-products,full-text,0,aqueous,,trap technique,full_text_extracted
6140,rayyan-628432905,"New Metabolites, Antifeedant, Insecticidal Activities, and Reciprocal Relationship Between Insect and Fungus from Endophyte Schizophyllum commune",2022,"Wang, Cui-Fang;Yang, Xue-Qiong;Sun, Jing;Wang, Ting;Cui, Han-Rong;Yang, Ya-Bin;Ding, Zhong-Tao",10.1002/cbdv.202200130,https://doi.org/10.1002/cbdv.202200130,Wang2022,02c_formulation_delivery,02c_formulation_delivery|02a_efficacy,abstract,0,,,endophytic,no_endpoint_in_abstract
4918,rayyan-628423958,Occurrence and diversity of insect-associated fungi in natural soils in China,2008,"Sun, Bing-Da;Liu, Xing-Zhong",10.1016/j.apsoil.2007.12.001,https://doi.org/10.1016/j.apsoil.2007.12.001,Sun2008,02c_formulation_delivery,02c_formulation_delivery|02a_efficacy,abstract,0,,mortality mentioned (see abstract),bait_station,endpoint_in_abstract
3965,rayyan-628422905,"Occurrence of entomopathogenic fungi from agricultural and natural ecosystems in Saltillo, Mexico, and their virulence towards thrips and whiteflies",2011,"Sanchez-Pena, Sergio R;Lara, Jorge San-Juan;Medina, Raul F",10.1673/031.011.0101,https://doi.org/10.1673/031.011.0101,Sanchez-Pena2011,02c_formulation_delivery,02c_formulation_delivery|02a_efficacy|02b_strains_traits,abstract,0,,88% mortality,bait_station,endpoint_in_abstract
5714,rayyan-628426283,Perspectives for the biological control of Cameraria ohridella.,2007,Zemek R;Prenerova E;Volter L;Weyda F;Skuhravy V,,https://pubmed.ncbi.nlm.nih.gov/18399483/,Zemek2007,02c_formulation_delivery,02c_formulation_delivery|02a_efficacy,full-text,0,"WP, conidia, dust, wettable powder",mortality of early whitefly; 29103 conidia/,both,full_text_extracted
5468,rayyan-628425577,Pest Management Strategies Against the Coffee Berry Borer (Coleoptera: Curculionidae: Scolytinae).,2018,Infante F,10.1021/acs.jafc.7b04875,https://doi.org/10.1021/acs.jafc.7b04875,Infante2018,02c_formulation_delivery,02c_formulation_delivery|02a_efficacy,abstract,0,,,trap,no_endpoint_in_abstract
833,rayyan-628419529,Phylogenetic Relationships and Acaricidal Effects of Beauveria bassiana Obtained from Cattle Farm Soils Against Rhipicephalus microplus,2018,"Fernandez-Salas, Agustin;Alonso-Diaz, Miguel Angel;Morales, Rogelio Alejandro Alonso;Lezama-Gutierrez, Roberto;Cervantes-Chavez, Jose Antonio",10.1645/17-162,https://doi.org/10.1645/17-162,Fernandez-Salas2018,02c_formulation_delivery,02c_formulation_delivery|02a_efficacy,abstract,0,,60% mortality; 53.5% mortality,bait_station,endpoint_in_abstract
2344,rayyan-628421167,"Population Dynamics and Control Potential of the Soil-Dwelling Stages of the South African Citrus Thrips, Scirtothrips aurantii (Thysanoptera: Thripidae), on Avocado",2021,"Bara, GT;Laing, MD",,http://europepmc.org/abstract/AGR/IND607523508,Bara2021,02c_formulation_delivery,02c_formulation_delivery|02a_efficacy,abstract,0,,,trap,no_endpoint_in_abstract
509,rayyan-628415959,Potential of Beauveria Species Isolated from Southern Kazakhstan for Controlling Colorado Potato Beetle (Leptinotarsa decemlineata) Populations Under Arid Conditions,2025,"Abdukerim, Rauza;Mussina, Meiramgul;Abysheva, Gaukartas;Tumenbayeva, Nagima;Mombayeva, Bekzat;Karabayeva, Assel;Amangeldi, Nurgul;Amangeldikyzy, Zamzagul",10.3390/insects16020176,https://doi.org/10.3390/insects16020176,Abdukerim2025,02c_formulation_delivery,02c_formulation_delivery|02a_efficacy,full-text,0,,,bait_station,full_text_extracted
1008,rayyan-628419716,Potential of Beauveria bassiana application via a carrier to control the large pine weevil,2021,"Lalik, Michal;Galko, Juraj;Nikolov, Christo;Rell, Slavomir;Kunca, Andrej;Zubrik, Milan;Hyblerova, Silvia;Barta, Marek;Holusa, Jaroslav",10.1016/j.cropro.2021.105563,https://doi.org/10.1016/j.cropro.2021.105563,Lalik2021,02c_formulation_delivery,02c_formulation_delivery|02a_efficacy,abstract,0,,mortality mentioned (see abstract),trap,endpoint_in_abstract
2129,rayyan-628420936,"Preparation, characterization, and insecticidal activity evaluation of three different formulations of Beauveria bassiana against Musca domestica",2013,"Mishra, Sapna;Kumar, Peeyush;Malik, Anushree",10.1007/s00436-013-3529-6,https://doi.org/10.1007/s00436-013-3529-6,Mishra2013,02c_formulation_delivery,02c_formulation_delivery|02a_efficacy,abstract,0,oil|encapsulation_hydrogel,100% mortality; 100 % mortality,bait_station,endpoint_in_abstract
599,rayyan-628416096,"Selection, application, and pathogenicity of naturally occurring Beauveria bassiana strains against Ips duplicatus (Coleoptera: Curculionidae, Scolytinae)",2025,"Vakula, Jozef;Nikolov, Christo;Lalik, Michal;Horakova, Miriam Kadasi;Rell, Slavomir;Galko, Juraj;Gubka, Andrej;Zubrik, Milan;Kunca, Andrej;Barta, Marek",10.1016/j.biocontrol.2025.105740,https://doi.org/10.1016/j.biocontrol.2025.105740,Vakula2025,02c_formulation_delivery,02c_formulation_delivery|02a_efficacy,abstract,0,,,trap,no_endpoint_in_abstract
4665,rayyan-628423616,Sequencing of new beauverolides by high-performance liquid chromatography and mass spectrometry,2001,"Kuzma, M;Jegorov, A;Kacer, P;Havlicek, V",10.1002/jms.213,https://doi.org/10.1002/jms.213,Kuzma2001,02c_formulation_delivery,02c_formulation_delivery|02a_efficacy,abstract,0,,,trap,no_endpoint_in_abstract
6202,rayyan-628435381,The use of aggregation pheromone to enhance dissemination of Beauveria bassiana for the control of the banana weevil in Uganda,2007,"Tinzaara, W;Gold, CS;Dicke, M;van Huis, A;Nankinga, CM;Kagezi, GH;Ragama, PE",10.1080/09583150600937089,https://doi.org/10.1080/09583150600937089,Tinzaara2007,02c_formulation_delivery,02c_formulation_delivery,full-text,0,"bait, conidia, oil, sugar",109conidia/g) infection have been reported in the laboratory following topical,both,full_text_extracted
6039,rayyan-628429410,"Towards the development of an autocontamination trap system to manage populations of emerald ash borer (Coleoptera: Buprestidae) with the native entomopathogenic fungus, Beauveria bassiana.",2012,Lyons DB;Iavallee R;Kyei-Poku G;Van Frankenhuyzen K;Johny S;Guertin C;Francese JA;Jones GC;Blais M,10.1603/ec12325,https://doi.org/10.1603/ec12325,Lyons2012,02c_formulation_delivery,02c_formulation_delivery|02a_efficacy,full-text,0,,autodissemination trap with native Bb,autocontamination trap EAB,full_text_extracted
